1;1;JEFATURA DE LA OFICINA DEL EJECUTIVO ESTATAL;JOEE;LIC. ADOLFO SALAZAR RAZO;Jefe de la Oficina del Ejecutivo Estatal;oee@sonora.gob.mx
2;1;SECRETARÍA DE GOBIERNO;SEGOB;DR. ÁLVARO BRACAMONTE SIERRA;Secretario de Gobierno;segob@sonora.gob.mx
3;1;SECRETARÍA DE SEGURIDAD PÚBLICA;SEGURIDAD;LIC. MARÍA DOLORES DEL RÍO SÁNCHEZ;Secretaria de Seguridad Pública;despacho@sspsonora.gob.mx
4;1;SECRETARÍA DEL TRABAJO;TRABAJO;MTRO. FRANCISCO VÁZQUEZ VALENCIA;Secretario del Trabajo;maria.vazquez@sonora.gob.mx
5;1;SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO;SIDUR;ING. HERIBERTO MARCELO AGUILAR CASTILLO;Secretario de Infraestructura y Desarrollo Urbano;miriam.valdez@sidur.gob.mx
6;1;SECRETARÍA DE ECONOMÍA;ECONOMIA;ING. ARQ. ARMANDO VILLA ORDUÑO;Secretario de Economía;janice.moreno@sonora.gob.mx
7;1;"SECRETARÍA DE AGRICULTURA,  GANADERÍA,  RECURSOS HIDRÁULICOS,  PESCA Y ACUACULTURA";SAGARHPA;MTRA. FÁTIMA YOLANDA RODRÍGUEZ MENDOZA;"Secretaria de Agricultura, Ganadería, Recursos Hidráulicos, Pesca y Acuacultura";sagarhpa@sonora.gob.mx
8;1;SECRETARÍA DEL TURISMO;TURISMO;MTRA. CÉLIDA TERESA LÓPEZ CÁRDENAS;Secretaria de Turismo;contacto@sonoraturismo.gob.mx
9;1;SECRETARÍA DE EDUCACIÓN Y CULTURA;SEC;DR. AARÓN AURELIO GRAGEDA BUSTAMANTE;Secretario de Educación y Cultura;webmastersec@sonora.edu.mx
10;1;SECRETARÍA DE SALUD PÚBLICA;SALUD;DR. JOSÉ LUIS ALOMÍA ZEGARRA;Secretario de Salud Pública;correspondencia.saludsonora@gmail.com
11;1;SECRETARÍA DE DESARROLLO SOCIAL;SEDESSON;MTRA. MARÍA WENDY BRICEÑO ZULOAGA;Secretaria de Desarrollo Social;sedesson@sonora.gob.mx
12;1;SECRETARÍA DE LA CONTRALORÍA GENERAL DEL ESTADO;CONTRALORIA;LIC. GUILLERMO ALEJANDRO NORIEGA ESPARZA;Secretario de la Contraloría General del Estado;respuestadecides@sonora.gob.mx
